Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB
R15	2008-01-05	2008-01-05	-62.1788734919	-58.90792111060001	54.0	0	0.49203
R15	2008-01-26	2008-01-05	-62.1788734919	-58.90792111060001	54.0	21	-0.23003000000000004
R15	2008-02-02	2008-01-26	-62.1788734919	-58.90792111060001	54.0	7	-0.028900000000000006
R15	2008-02-09	2008-02-02	-62.1788734919	-58.90792111060001	54.0	7	-0.04355999999999998
R15	2008-02-17	2008-02-09	-62.1788734919	-58.90792111060001	54.0	8	-0.20554000000000003
R15	2008-02-24	2008-02-17	-62.1788734919	-58.90792111060001	54.0	7	-0.11200000000000002
R15	2008-03-02	2008-02-24	-62.1788734919	-58.90792111060001	54.0	7	-0.133
R15	2008-03-09	2008-03-02	-62.1788734919	-58.90792111060001	54.0	7	-0.18
R15	2008-03-11	2008-03-09	-62.1788734919	-58.90792111060001	54.0	2	-0.026999999999999958
R15	2009-01-24	2008-03-11	-62.1788734919	-58.90792111060001	54.0	319	0.46799999999999997
R15	2009-01-30	2009-01-24	-62.1788734919	-58.90792111060001	54.0	6	-0.099
R15	2009-01-31	2009-01-30	-62.1788734919	-58.90792111060001	54.0	1	-0.017999999999999988
R15	2009-02-06	2009-01-31	-62.1788734919	-58.90792111060001	54.0	6	-0.063
R15	2009-02-13	2009-02-06	-62.1788734919	-58.90792111060001	54.0	7	-0.16200000000000003
R15	2009-02-21	2009-02-13	-62.1788734919	-58.90792111060001	54.0	8	-0.12599999999999995
R15	2009-02-28	2009-02-21	-62.1788734919	-58.90792111060001	54.0	7	-0.09900000000000006
R15	2009-03-01	2009-02-28	-62.1788734919	-58.90792111060001	54.0	1	-0.09899999999999992
R15	2009-11-18	2009-03-01	-62.1788734919	-58.90792111060001	54.0	262	2.2095
R15	2009-12-07	2009-11-18	-62.1788734919	-58.90792111060001	54.0	19	0.18689999999999998
R15	2009-12-13	2009-12-07	-62.1788734919	-58.90792111060001	54.0	6	0.04950000000000017
R15	2009-12-21	2009-12-13	-62.1788734919	-58.90792111060001	54.0	8	-0.021200000000000045
