Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	sf	PDD
R15	2008-01-26	-62.1788734919	-58.90792111060001	54.0	21	-0.23003	0.66961807	0.018224243	15.887604
R15	2008-02-02	-62.1788734919	-58.90792111060001	54.0	7	-0.0289	1.3354683	2.7733156e-05	10.683746
R15	2008-02-09	-62.1788734919	-58.90792111060001	54.0	7	-0.0435599999999999	0.49577713	0.009557168	4.2136536
R15	2008-02-17	-62.1788734919	-58.90792111060001	54.0	8	-0.20554	1.6290452	0.00012025237	14.661407
R15	2008-02-24	-62.1788734919	-58.90792111060001	54.0	7	-0.112	1.8768501	0.0019542917	15.014801
R15	2008-03-02	-62.1788734919	-58.90792111060001	54.0	7	-0.133	1.2190628	0.014357213	10.177795
R15	2008-03-09	-62.1788734919	-58.90792111060001	54.0	7	-0.18	1.6986313	0.0002782084	13.58905
R15	2008-03-11	-62.1788734919	-58.90792111060001	54.0	2	-0.0269999999999999	1.1724243	4.907546e-05	3.517273
R15	2009-01-24	-62.1788734919	-58.90792111060001	54.0	319	0.4679999999999999	-1.599319	0.5558525	84.17969
R15	2009-01-30	-62.1788734919	-58.90792111060001	54.0	6	-0.099	1.9594116	4.1200314e-05	13.715881
R15	2009-01-31	-62.1788734919	-58.90792111060001	54.0	1	-0.0179999999999999	1.5379944	0.0008162891	3.0759888
R15	2009-02-06	-62.1788734919	-58.90792111060001	54.0	6	-0.063	0.5964879	0.014866563	4.2872314
R15	2009-02-13	-62.1788734919	-58.90792111060001	54.0	7	-0.162	1.5737419	0.000876016	12.589935
R15	2009-02-21	-62.1788734919	-58.90792111060001	54.0	8	-0.1259999999999999	0.88164943	0.011263422	7.934845
R15	2009-02-28	-62.1788734919	-58.90792111060001	54.0	7	-0.099	1.2717323	0.0017620007	10.173859
R15	2009-03-01	-62.1788734919	-58.90792111060001	54.0	1	-0.0989999999999999	0.1973877	0.00039157993	0.3947754
R15	2009-11-18	-62.1788734919	-58.90792111060001	54.0	262	2.2095	-4.0968075	0.66799486	39.49579
R15	2009-12-07	-62.1788734919	-58.90792111060001	54.0	19	0.1868999999999999	-1.202864	0.063479856	0.0
R15	2009-12-13	-62.1788734919	-58.90792111060001	54.0	6	0.0495000000000001	-0.6654663	0.009903145	0.0
R15	2009-12-21	-62.1788734919	-58.90792111060001	54.0	8	-0.0212	0.78012425	0.0031687277	7.0306396
R15	2009-12-28	-62.1788734919	-58.90792111060001	54.0	7	-0.2196999999999999	0.1401329	0.025962185	2.3179016
R15	2010-01-11	-62.1788734919	-58.90792111060001	54.0	14	-0.0648000000000001	-0.48462728	0.010161627	0.4295349
R15	2010-01-18	-62.1788734919	-58.90792111060001	54.0	7	-0.2183999999999999	0.35782242	0.0079913335	4.309265
R15	2010-01-25	-62.1788734919	-58.90792111060001	54.0	7	-0.0687999999999999	0.7681351	0.0019988464	6.1450806
R15	2010-02-01	-62.1788734919	-58.90792111060001	54.0	7	-0.0643	0.16169739	0.011110281	2.2048035
R15	2010-02-15	-62.1788734919	-58.90792111060001	54.0	14	0.0986	-0.1771403	0.044821832	1.2705688
R15	2010-02-22	-62.1788734919	-58.90792111060001	54.0	7	-0.1500999999999999	-0.24541092	0.0007789441	2.7695312
R15	2010-03-01	-62.1788734919	-58.90792111060001	54.0	7	0.2575	-0.4074669	0.019945825	2.2971497
R15	2010-03-08	-62.1788734919	-58.90792111060001	54.0	7	-0.2674000000000001	0.8436127	0.000237055	8.202179
R15	2010-03-15	-62.1788734919	-58.90792111060001	54.0	7	-0.0385999999999999	-0.3451538	0.0026988392	5.8720703
R15	2010-03-23	-62.1788734919	-58.90792111060001	54.0	8	-0.0379999999999999	-1.8108011	0.049048424	0.0
