Year	SMB	Glacier
2002	530.0	HURD
2002	-670.0	HURD
2003	540.0	HURD
2003	-1060.0	HURD
2004	630.0	HURD
2004	-620.0	HURD
2005	610.0	HURD
2005	-730.0	HURD
2006	560.0	HURD
2006	-1420.0	HURD
2007	350.0	HURD
2007	-890.0	HURD
2008	820.0	HURD
2008	-630.0	HURD
2009	510.0	HURD
2009	-900.0	HURD
2010	740.0	HURD
2010	-200.0	HURD
2011	900.0	HURD
2011	-610.0	HURD
2012	520.0	HURD
2012	-710.0	HURD
2013	780.0	HURD
2013	-570.0	HURD
2014	670.0	HURD
2014	-270.0	HURD
2015	940.0	HURD
2015	-380.0	HURD
2016	670.0	HURD
2016	-380.0	HURD
2017	510.0	HURD
2017	-930.0	HURD
2018	340.0	HURD
2018	-900.0	HURD
2019	560.0	HURD
2019	-370.0	HURD
2002	710.0	JOHNSONS
2002	-690.0	JOHNSONS
2003	690.0	JOHNSONS
2003	-850.0	JOHNSONS
2004	690.0	JOHNSONS
2004	-610.0	JOHNSONS
2005	870.0	JOHNSONS
2005	-650.0	JOHNSONS
2006	850.0	JOHNSONS
2006	-1180.0	JOHNSONS
2007	440.0	JOHNSONS
2007	-730.0	JOHNSONS
2008	780.0	JOHNSONS
2008	-690.0	JOHNSONS
2009	640.0	JOHNSONS
2009	-810.0	JOHNSONS
2010	740.0	JOHNSONS
2010	-230.0	JOHNSONS
2011	1150.0	JOHNSONS
2011	-650.0	JOHNSONS
2012	670.0	JOHNSONS
2012	-270.0	JOHNSONS
2013	900.0	JOHNSONS
2013	-510.0	JOHNSONS
2014	750.0	JOHNSONS
2014	-160.0	JOHNSONS
2015	1100.0	JOHNSONS
2015	-350.0	JOHNSONS
2016	890.0	JOHNSONS
2016	-360.0	JOHNSONS
2017	690.0	JOHNSONS
2017	-720.0	JOHNSONS
2018	520.0	JOHNSONS
2018	-600.0	JOHNSONS
2019	840.0	JOHNSONS
2019	-290.0	JOHNSONS
2008	654.0	BELLINGSHAUSEN
2008	-736.0	BELLINGSHAUSEN
2009	565.0	BELLINGSHAUSEN
2009	-1259.0	BELLINGSHAUSEN
2010	801.0	BELLINGSHAUSEN
2010	-426.0	BELLINGSHAUSEN
2011	1023.0	BELLINGSHAUSEN
2011	-941.0	BELLINGSHAUSEN
2012	710.0	BELLINGSHAUSEN
2012	-1139.0	BELLINGSHAUSEN
