R1	-62.1776204178	-58.9024056627	82
R1A	-62.1769641417	-58.9005010787	96
R2	-62.1763629826	-58.8985039891	116
R3	-62.1750969895	-58.8945636931	135
R4	-62.1738385449	-58.8907202422	168
R5	-62.1725351348	-58.8868743144	181
R6	-62.1712229058	-58.8830089691	200
R7	-62.1699108277	-58.879124769	214
R8	-62.168517116	-58.8752934687	219
R9	-62.1667709276	-58.8782578316	237
R10	-62.165214753	-58.8817713189	245
R11	-62.1642768315	-58.8860333911	251
R12	-62.1697286898	-58.8626932673	137
R13	-62.1708791576	-58.8585964292	84
R14	-62.1689403375	-58.8685597229	191
R15	-62.1788734919	-58.9079211106	54
6N	-62.1803841336	-58.8874404557	91
7N	-62.1754117411	-58.8886095022	168
8N	-62.1702086444	-58.8869405987	218
9N	-62.1662232681	-58.883543028	261
AN	-62.1658371905	-58.8947333097	240
BN	-62.1658082485	-58.9020860931	200
CN	-62.1647298394	-58.9138851851	110
DN	-62.1540855346	-58.9174165862	88
EN	-62.1539739681	-58.9131481917	108
FN	-62.1554080332	-58.9035639244	152
GN	-62.1563724564	-58.890186894	207
IN	-62.1576785558	-58.8806505033	232
JN	-62.1528487732	-58.8779322713	231

